SERIAL_NO|CARD_NO|GETON_YMD|GETON_TM|TRANSACTION_ID|TR_MEANS_TYPE|TRANSF_CNT|BUS_ROUTE_ID|BUS_CO_ID|BUS_CAR_ID|USR_TYPE|DRVN_START_YMD|DRVN_START_TM|GETON_BUS_STTN_ID|GETOFF_YMD|GETOFF_TM|GETOFF_BUS_STTN_ID|YSR_CNT|GETON_PAY|GETOFF_PAY|DRVR_ID|GETON_CALC_YMD|GETOFF_CALC_YMD|ETL_TYPE|ETL_DATE
378015|0000000532598446              |20220528|124511|017|676|0|30300069|130010001|130759405|1|20220528|120654|8002761|20220528|125030|8002279|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378017|0000000280109145              |20220528|132516|025|675|0|30300058|130010004|130752257|1|20220528|123743|8001418|20220528|133422|8002241|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378019|0000000533065100              |20220528|195834|020|676|0|30300089|130010011|130759522|4|20220528|144256|8002138|20220528|201600|8005507|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378021|0000000100279735              |20220528|204737|027|679|0|30300063|130010001|130759410|1|20220528|203918|8001096|20220528|205559|8001419|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378023|0000000279288333              |20220528|074303|013|676|0|30300037|130010006|130759024|1|20220528|072652|8001590|20220528|082336|8001035|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378025|0000000520505919              |20220528|150120|003|675|0|30300045|130010006|130752047|4|20220528|134746|8003072|20220528|152708|8002997|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378027|0000000543088351              |20220528|161838|022|676|0|30300041|130010012|130753309|1|20220528|151144|8070030|20220528|163242|8002412|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378029|0000000536916725              |20220528|172151|007|674|0|30300002|130010007|130759323|4|20220528|170943|8002909|20220528|173350|8002133|1|750|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378031|0000000532583057              |20220528|171407|002|676|0|30300090|130010005|130759216|1|20220528|153424|8007325|20220528|172423|8001078|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378438|0000000131008818              |20220528|083603|006|676|0|30300051|130010008|130752125|1|20220528|080838|8001029|20220528|084221|8002543|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
378440|0000000123242713              |20220528|103002|017|676|0|30300051|130010008|130752153|1|20220528|100409|8001029|20220528|104340|8001489|1|1250|0|      |20220528|20220528|0603|2022-06-08 07:02:41
